,id,datum_waarneming,tijd_waarneming,cluster_id,gbd_buurt_code,gbd_buurt_id,bag_openbareruimte_id,bag_verblijfsobject_id,bag_nummeraanduiding_id,bag_woonplaats_id,geometrie,bruingoed,containervies,crow_score,glas,glasgestremd,glastoegankelijk,glasvol,grof,handhaving,waarde_handhaving,huisvuil,karton,overig,papiervol,papiergestremd,papiertoegankelijk,restgestremd,resttoegankelijk,restvol,veegvuil,zwerfafval,waarnemer_rol,gbd_stadsdeel_naam,postcode,straatnaam,locatie_waarnemer,type_waarneming,grofvuildagen,adres_type,dumpplek,melding_door_collega_doorgezet,naam_melding_doorgezet,gebruikers_rol,geometrie_str
0,KfLyblTL2xLIY1ayWZjc,2021-09-01,2021-09-01T11:32:37.000Z,121152.497|485243.531,KE03,3630980000269.0,363300000002544.0,363010000546121.0,363200000008967.0,3594.0,[B@7337a869,False,False,A,False,False,False,False,False,False,0,False,False,False,False,False,False,False,False,False,False,False,Werkbrigade,Zuid,1072NE,Eerste Jan Steenstraat 85,Zuid,,,,,,,Werkbrigade Zuid 2,[B@7337a869
1,OYKOMmU5WuCZ733RJXDp,2024-05-08,2024-05-08T11:32:20.000Z,121152.497|485243.531,KE03,3630980000269.0,363300000002544.0,363010000546121.0,363200000008967.0,3594.0,[B@29ec1dcc,,False,A+,,False,True,False,False,False,0,False,False,,False,False,True,False,True,False,,False,Werkbrigade,Zuid,1072NE,Eerste Jan Steenstraat 85,Zuid,crow,,,False,False,,Werkbrigade Zuid,[B@29ec1dcc
2,0ic2l5Q0JQUGS5rW67is,2021-09-01,2021-09-01T07:56:21.000Z,121152.497|485243.531,KE03,3630980000269.0,363300000002544.0,363010000546121.0,363200000008967.0,3594.0,[B@40c466db,False,False,B,False,False,False,False,False,False,0,True,False,False,False,False,False,False,True,False,False,False,TAM-KP,Zuid,1072NE,Eerste Jan Steenstraat 85,Zuid,,,,,,,TAM KP 10 - Kraakpers Pijp,[B@40c466db
3,FmSF1p6q2aQY95cWHqJ8,2022-10-06,2022-10-06T14:06:38.000Z,121152.497|485243.531,KE03,3630980000269.0,363300000002544.0,363010000546121.0,363200000008967.0,3594.0,[B@131c57a1,False,True,A+,False,False,True,False,False,False,0,False,False,False,False,False,True,False,True,False,False,False,Werkbrigade,Zuid,1072NE,Eerste Jan Steenstraat 85,Zuid,,,,,,,Werkbrigade Zuid 1,[B@131c57a1
4,mD036VI3ZHonqn135yj7,2020-09-26,2020-09-26T10:30:25.000Z,121152.497|485243.531,KE03,3630980000269.0,363300000002544.0,363010000546121.0,363200000008967.0,3594.0,[B@5d26c14b,,,D,False,False,False,False,False,True,1,True,True,False,False,False,False,True,False,False,,False,Toezichthouder Afval,Zuid,1072NE,Eerste Jan Steenstraat 85,Zuid,,,,,,,,[B@5d26c14b
5,XKKPicSAo54hb93GLI8I,2021-10-21,2021-10-21T10:14:07.000Z,123858.275|486238.458,ME02,3630980000342.0,363300000002563.0,363010000549260.0,363200000012190.0,3594.0,[B@14edb55e,False,False,C,False,False,True,False,False,False,0,False,False,False,False,False,True,False,True,False,False,False,Werkbrigade,Oost,1093GM,Eerste Van Swindenstraat 132,Oost,,,,,,,Werkbrigade Oost 2,[B@14edb55e
6,YjNZchd7nl2OwF5gnjmD,2021-12-09,2021-12-09T12:41:37.000Z,122676.698|488664.687,NL03,3630980000449.0,363300000002641.0,363010000558670.0,363200000021513.0,3594.0,[B@77fceba6,False,False,A+,False,False,False,False,False,False,0,False,False,False,False,False,False,False,True,False,False,False,SMO/ Schouwer,Noord,1021HC,Reigerweg 1,Noord,,,,,,,SMO Schouwer West-NW,[B@77fceba6
7,ZwZJXL9fwmpc7GFdmt3f,2023-10-26,2023-10-26T10:32:16.000Z,122676.698|488664.687,NL03,3630980000449.0,363300000002641.0,363010000558670.0,363200000021513.0,3594.0,[B@6ac1ba7,,False,A,,False,True,False,False,False,0,False,True,,False,False,True,False,True,False,,True,SMO Schouwer,Noord,1021BP,Adelaarsweg 25,Noord,crow,,postponed,False,False,,SMO Noord,[B@6ac1ba7
8,nxPVyDeh6N2K86p1oLjU,2020-10-07,2020-10-07T11:27:04.000Z,119048.023|487263.864,EL01,3630980000146.0,363300000002644.0,363010000559255.0,363200000022102.0,3594.0,[B@6debbea0,,,A+,False,False,False,False,False,False,0,False,False,False,False,False,True,False,True,False,,False,Werkbrigade,West,1056ET,Admiraal De Ruijterweg 97,West,,,,,,,,[B@6debbea0
9,TJvl1g5pPiusxCpZuAXD,2022-11-25,2022-11-25T10:53:53.000Z,118640.337|488328.083,EE02,3630980000122.0,363300000002644.0,363010000560235.0,363200000023075.0,3594.0,[B@1455a106,,False,A+,,False,True,False,False,False,0,False,False,,False,False,True,False,True,False,,False,Toezichthouder Afval,West,1055NA,Admiraal De Ruijterweg 354,West,crow,,,False,False,,TZH West,[B@1455a106
10,0jCSkWsLIjpfxbtWePbh,2022-05-12,2022-05-12T11:49:26.000Z,120068.758|487109.706,EQ01,3630980000159.0,363300000002688.0,363010000565277.0,363200000028046.0,3594.0,[B@464d9f1,False,False,A,False,False,False,False,False,False,0,False,False,False,False,False,True,False,True,False,False,False,Werkbrigade,West,1053LL,Nassaukade 165,West,,,,,,,Werkbrigade West 2,[B@464d9f1
11,KRhqbCyVH9XpaZ8lEPRX,2024-11-25,2024-11-25T08:09:32.000Z,120068.758|487109.706,EQ01,3630980000159.0,363300000002688.0,363010000565277.0,363200000028046.0,3594.0,[B@62f39bf9,,False,C,,False,True,False,True,False,0,False,False,,True,False,False,False,True,False,,False,SMO Schouwer,West,1053ZZ,Nassaukade 165,West,crow,,postponed,False,False,,SMO West,[B@62f39bf9
12,dUf5VDrtBrwQ91LI0rh4,2021-12-13,2021-12-13T08:08:58.000Z,118689.448|486871.723,EM02,3630980000150.0,363300000002459.0,363010000574921.0,363200000037651.0,3594.0,[B@525d37b9,False,False,B,False,False,False,False,True,False,0,False,False,False,False,False,False,False,True,False,False,False,Werkbrigade,West,1057SW,Baffinstraat 25,West,,,,,,,Werkbrigade West 2,[B@525d37b9
13,qac0mDf3xDsCwT5WUo75,2020-07-18,2020-07-18T13:48:53.000Z,118689.448|486871.723,EM02,3630980000150.0,363300000002459.0,363010000574921.0,363200000037651.0,3594.0,[B@6bb9e165,,,D,False,False,True,False,True,False,0,True,True,False,False,False,True,False,True,False,,False,Toezicht Afval,West,1057SW,Baffinstraat 25,West,,,,,,,,[B@6bb9e165
14,ZZhfg91nJjT6523Qe3sL,2024-02-16,2024-02-16T10:42:25.000Z,118689.340|486871.797,EM02,3630980000150.0,363300000002459.0,363010000574921.0,363200000037651.0,3594.0,[B@49b016b2,,False,C,,False,True,False,False,False,0,True,True,,False,False,True,False,True,False,,False,Toezichthouder Afval,West,1057SW,Baffinstraat 14,West,crow,,forwarded,False,True,99gY7gm8Pif5IM1IEZ9PGxr7ssZ2,TZH West,[B@49b016b2
15,Abq3GWDZPUyNDB9gGLks,2023-09-06,2023-09-06T11:43:41.000Z,118689.340|486871.797,EM02,3630980000150.0,363300000002459.0,363010000574921.0,363200000037651.0,3594.0,[B@3762702e,,False,A,,False,True,False,False,False,0,False,False,,False,False,True,False,True,False,,True,Toezichthouder Afval,West,1057SW,Baffinstraat 14,West,crow,,,False,False,,TZH West,[B@3762702e
16,C1bxMjqqMMiiT5EL3gJA,2021-03-02,2021-03-02T11:19:58.000Z,n.v.t.,EQ01,3630980000159.0,363300000002937.0,363010000585916.0,363200000048295.0,3594.0,[B@cb96984,False,False,B,False,False,False,False,False,False,0,False,False,True,False,False,False,False,True,False,False,True,TAM-KP,Centrumlocaties,Nederland,Bilderdijkstraat 65,Centrumlocaties,,,,,,,TAM KP 8 - Oud-West,[B@cb96984
17,jniW34WMZkjPZnl4Umx8,2021-11-08,2021-11-08T07:55:09.000Z,121826.514|492634.312,ND02,3630980000417.0,363300000003163.0,363010000611127.0,363200000073416.0,3594.0,[B@28af13bf,False,False,A+,False,False,False,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,TAM-KP,Noord,1035VX,Halteriastraat 25,Noord,,,,,,,TAM KP 6 - Noord,[B@28af13bf
18,XGCb0CNRZxRK3Rzfzmgm,2024-07-12,2024-07-12T17:45:49.000Z,n.v.t.,AD03,3630980000042.0,363300000003187.0,363010000614586.0,363200000414184.0,3594.0,[B@61e3859e,,,D,,,,,False,False,0,True,True,,,,,,,,,False,BuurtconciÃ«rge,Centrum,Nederland,Damrak 9,Centrum,crow,,,True,False,,NWZ Project,[B@61e3859e
19,9ifY8BTslEz8WZk7QdFM,2021-03-17,2021-03-17T07:57:38.000Z,120969.844|484409.618,KK01,3630980000291.0,363300000003247.0,363010000621930.0,363200000084207.0,3594.0,[B@45247a8c,False,False,A+,False,False,False,False,False,False,0,False,False,False,False,False,False,False,True,False,False,False,Werkbrigade,Zuid,1078JJ,Deurloostraat 108,Zuid,,,,,,,Werkbrigade Zuid 1,[B@45247a8c
